words,sentences
"బిల్,పాక్స్టన్,బ్రోక్,లోవెట్,ఎ,ట్రెజర్,హంటర్,ఆఫ్,ది,ఓషన్,యొక్క,గుండె,కోసం,వెతుకుతున్నది,టైటానిక్,యొక్క,శిధిలాలలో,ఉంది",బిల్ పాక్స్టన్ బ్రోక్ లోవెట్ ఎ ట్రెజర్ హంటర్ ఆఫ్ ది ఓషన్ యొక్క గుండె కోసం వెతుకుతున్నది టైటానిక్ యొక్క శిధిలాలలో ఉంది
"అతని,యాత్రకు,సమయం,మరియు,నిధులు,అయిపోతున్నాయి",అతని యాత్రకు సమయం మరియు నిధులు అయిపోతున్నాయి
"మూడేళ్లపాటు,టైటానిక్,గురించి,ఆలోచిస్తున్నప్పటికీ,అతను,గులాబీల,కథ,వినే,వరకు,అతను,దానిని,అర్థం,చేసుకోలేదని,అతను,చలన,చిత్రాల,ముగింపులో,ప్రతిబింబిస్తాడు",మూడేళ్లపాటు టైటానిక్ గురించి ఆలోచిస్తున్నప్పటికీ అతను గులాబీల కథ వినే వరకు అతను దానిని అర్థం చేసుకోలేదని అతను చలన చిత్రాల ముగింపులో ప్రతిబింబిస్తాడు
"లిజ్జీ,కాల్వెర్ట్,రోజెస్,మనవరాలు,వలె,సుజీ,అమిస్,ఆమె,ఓడలో,లవెట్ను,సందర్శించినప్పుడు,మరియు,జాక్,డాసన్,తో,తన,అమ్మమ్మల,శృంగార,గతం,గురించి,తెలుసుకున్నప్పుడు,ఆమెతో,పాటు,ఆమెతో,పాటు,వస్తుంది",లిజ్జీ కాల్వెర్ట్ రోజెస్ మనవరాలు వలె సుజీ అమిస్ ఆమె ఓడలో లవెట్ను సందర్శించినప్పుడు మరియు జాక్ డాసన్ తో తన అమ్మమ్మల శృంగార గతం గురించి తెలుసుకున్నప్పుడు ఆమెతో పాటు ఆమెతో పాటు వస్తుంది
"ఫాబ్రిజియో,డి,రోస్సీగా,డానీ,నస్సీ,ఇటాలియన్,బెస్ట్,ఫ్రెండ్,జాక్,,జాక్,ఒక,పేకాట,ఆటలో,రెండు,టిక్కెట్లను,గెలుచుకున్న,తరువాత,అతనితో,టైటానిక్,బోర్డు","ఫాబ్రిజియో డి రోస్సీగా డానీ నస్సీ ఇటాలియన్ బెస్ట్ ఫ్రెండ్ జాక్, జాక్ ఒక పేకాట ఆటలో రెండు టిక్కెట్లను గెలుచుకున్న తరువాత అతనితో టైటానిక్ బోర్డు"
"టైటానిక్,మునిగిపోయినప్పుడు,ఫాబ్రిజియో,లైఫ్,బోట్,ఎక్కడంలో,విఫలమయ్యాడు,మరియు,ఓడలలో,ఒకటి,ఫన్నల్స్,విరిగింది,మరియు,అతనిని,మరియు,అనేక,ఇతర,ప్రయాణీకులను,నలిపివేసే,నీటిలో,క్రాష్,అయినప్పుడు,చంపబడుతుంది",టైటానిక్ మునిగిపోయినప్పుడు ఫాబ్రిజియో లైఫ్ బోట్ ఎక్కడంలో విఫలమయ్యాడు మరియు ఓడలలో ఒకటి ఫన్నల్స్ విరిగింది మరియు అతనిని మరియు అనేక ఇతర ప్రయాణీకులను నలిపివేసే నీటిలో క్రాష్ అయినప్పుడు చంపబడుతుంది
"డేవిడ్,వార్నర్,స్పైసర్,లవ్‌జోయ్,ఎగ్జింకెర్టన్,కానిస్టేబుల్,మరియు,కాల్స్,ఇంగ్లీష్,వాలెట్,మరియు,బాడీగార్డ్",డేవిడ్ వార్నర్ స్పైసర్ లవ్‌జోయ్ ఎగ్జింకెర్టన్ కానిస్టేబుల్ మరియు కాల్స్ ఇంగ్లీష్ వాలెట్ మరియు బాడీగార్డ్
"అతను,రోజ్,ను,పర్యవేక్షిస్తాడు,మరియు,జాక్,ఆమెను,రక్షించే,పరిస్థితుల,గురించి,అనుమానాస్పదంగా,ఉన్నాడు",అతను రోజ్ ను పర్యవేక్షిస్తాడు మరియు జాక్ ఆమెను రక్షించే పరిస్థితుల గురించి అనుమానాస్పదంగా ఉన్నాడు
"టైటానిక్,సగానికి,విడిపోయినప్పుడు,అతను,చనిపోతాడు,,అతను,భారీ,ఓపెనింగ్‌లోకి,వస్తాడు","టైటానిక్ సగానికి విడిపోయినప్పుడు అతను చనిపోతాడు, అతను భారీ ఓపెనింగ్‌లోకి వస్తాడు"
"వార్నర్,1979,టీవీ,మినిసిరీస్,లలో,కనిపించాడు",వార్నర్ 1979 టీవీ మినిసిరీస్ లలో కనిపించాడు
ఓ,ఓ
S,S
టైటానిక్,టైటానిక్
"జాక్,మరియు,ఫాబ్రిజియోతో,స్నేహం,చేసే,ఐరిష్,థర్డ్,క్లాస్,ప్రయాణీకుడిగా,టామీ,ర్యాన్,గా,జాసన్,బారీ",జాక్ మరియు ఫాబ్రిజియోతో స్నేహం చేసే ఐరిష్ థర్డ్ క్లాస్ ప్రయాణీకుడిగా టామీ ర్యాన్ గా జాసన్ బారీ
"అతను,అనుకోకుండా,ముందుకు,నెట్టి,,భయపడిన,మొదటి,అధికారి,ముర్డోచ్,చేత,కాల్చి,చంపబడినప్పుడు,టామీ,చంపబడ్డాడు","అతను అనుకోకుండా ముందుకు నెట్టి, భయపడిన మొదటి అధికారి ముర్డోచ్ చేత కాల్చి చంపబడినప్పుడు టామీ చంపబడ్డాడు"
"చారిత్రక,పాత్రలు,సంఘటనల,యొక్క,పూర్తిగా,ఖచ్చితమైన,వర్ణనగా,భావించనప్పటికీ,,ఈ,చిత్రంలో,వివిధ,చారిత్రక,వ్యక్తుల,చిత్రణలు,ఉన్నాయి,మార్గరెట్,మోలీ,బ్రౌన్,వలె,కాథీ,బేట్స్","చారిత్రక పాత్రలు
సంఘటనల యొక్క పూర్తిగా ఖచ్చితమైన వర్ణనగా భావించనప్పటికీ, ఈ చిత్రంలో వివిధ చారిత్రక వ్యక్తుల చిత్రణలు ఉన్నాయి

మార్గరెట్ మోలీ బ్రౌన్ వలె కాథీ బేట్స్"
"బ్రౌన్,ను,ఇతర,ఫస్ట్‌క్లాస్,మహిళలు,రూత్,గా,అసభ్యంగా,మరియు,కొత్త,డబ్బుతో,చూస్తారు",బ్రౌన్ ను ఇతర ఫస్ట్‌క్లాస్ మహిళలు రూత్ గా అసభ్యంగా మరియు కొత్త డబ్బుతో చూస్తారు
"ఆమె,జాక్‌తో,స్నేహపూర్వకంగా,ఉంటుంది,మరియు,ఫస్ట్,క్లాస్,డైనింగ్,సెలూన్‌లో,విందుకు,ఆహ్వానించబడినప్పుడు,తన,కొడుకు,కోసం,కొనుగోలు,చేసిన,సాయంత్రం,బట్టల,సూట్,అతనికి,రుణాలు,ఇస్తుంది",ఆమె జాక్‌తో స్నేహపూర్వకంగా ఉంటుంది మరియు ఫస్ట్ క్లాస్ డైనింగ్ సెలూన్‌లో విందుకు ఆహ్వానించబడినప్పుడు తన కొడుకు కోసం కొనుగోలు చేసిన సాయంత్రం బట్టల సూట్ అతనికి రుణాలు ఇస్తుంది
"ఆమెను,చరిత్రకారులు,అవాంఛనీయ,మోలీ,బ్రౌన్,అని,పిలుస్తారు,,ఎందుకంటే,ఇతర,మహిళల,మద్దతుతో,ఆమె,క్వార్టర్,మాస్టర్,రాబర్ట్,హిచెన్స్,నుండి,లైఫ్,బోట్,6,ను,కమాండెడ్,చేసింది","ఆమెను చరిత్రకారులు అవాంఛనీయ మోలీ బ్రౌన్ అని పిలుస్తారు, ఎందుకంటే ఇతర మహిళల మద్దతుతో ఆమె క్వార్టర్ మాస్టర్ రాబర్ట్ హిచెన్స్ నుండి లైఫ్ బోట్ 6 ను కమాండెడ్ చేసింది"
"ఈ,వాగ్వాదం,యొక్క,కొన్ని,అంశాలు,కామెరాన్స్,చిత్రంలో,చిత్రీకరించబడ్డాయి",ఈ వాగ్వాదం యొక్క కొన్ని అంశాలు కామెరాన్స్ చిత్రంలో చిత్రీకరించబడ్డాయి
"రెబా,మెక్‌ఎంటైర్‌కు,ఈ,పాత్ర,ఇవ్వబడింది,,కాని,దానిని,తిరస్కరించాల్సి,వచ్చింది,ఎందుకంటే,ఇది,ఆమె,టూరింగ్,షెడ్యూల్‌తో,విభేదించింది","రెబా మెక్‌ఎంటైర్‌కు ఈ పాత్ర ఇవ్వబడింది, కాని దానిని తిరస్కరించాల్సి వచ్చింది ఎందుకంటే ఇది ఆమె టూరింగ్ షెడ్యూల్‌తో విభేదించింది"
"విక్టర్,గార్బెర్,థామస్,ఆండ్రూస్,ది,షిప్స్,బిల్డర్,ఆండ్రూస్,ఒక,దయగల,మంచి,వ్యక్తిగా,చిత్రీకరించబడింది,,అతను,తన,గొప్ప,సాధన,గురించి,నమ్రత,కలిగి,ఉన్నాడు","విక్టర్ గార్బెర్ థామస్ ఆండ్రూస్ ది షిప్స్ బిల్డర్ ఆండ్రూస్ ఒక దయగల మంచి వ్యక్తిగా చిత్రీకరించబడింది, అతను తన గొప్ప సాధన గురించి నమ్రత కలిగి ఉన్నాడు"
"ఘర్షణ,తరువాత,అతను,ఇతరులను,ఒప్పించటానికి,ప్రయత్నిస్తాడు,,ముఖ్యంగా,ఓడ,మునిగిపోతుందని,గణిత,నిశ్చయత,అని,ఇస్మే","ఘర్షణ తరువాత అతను ఇతరులను ఒప్పించటానికి ప్రయత్నిస్తాడు, ముఖ్యంగా ఓడ మునిగిపోతుందని గణిత నిశ్చయత అని ఇస్మే"
"ఫస్ట్‌క్లాస్,ధూమపాన,గదిలో,గడియారం,పక్కన,నిలబడి,ఉన్నట్లు,ఓడ,మునిగిపోయేటప్పుడు,అతను,బలమైన,మరియు,సురక్షితమైన,ఓడను,నిర్మించడంలో,విఫలమయ్యాడు",ఫస్ట్‌క్లాస్ ధూమపాన గదిలో గడియారం పక్కన నిలబడి ఉన్నట్లు ఓడ మునిగిపోయేటప్పుడు అతను బలమైన మరియు సురక్షితమైన ఓడను నిర్మించడంలో విఫలమయ్యాడు
"ఇది,1912,పుస్తకంలో,థామస్,ఆండ్రూస్,షిప్‌బిల్డర్,అనే,పుస్తకంలో,ప్రచురించబడిన,ఈ,కథను,టైటానిక్,మునిగిపోయే,అత్యంత,ప్రసిద్ధ,ఇతిహాసాలలో,ఒకటిగా,మారినప్పటికీ,,ఓడలో,జాన్,స్టీవర్ట్,ఎ,స్టీవార్డ్,నుండి,వచ్చారు,,వాస్తవానికి,ఓడను,పడవలో,వదిలిపెట్టారు","ఇది 1912 పుస్తకంలో థామస్ ఆండ్రూస్ షిప్‌బిల్డర్ అనే పుస్తకంలో ప్రచురించబడిన ఈ కథను టైటానిక్ మునిగిపోయే అత్యంత ప్రసిద్ధ ఇతిహాసాలలో ఒకటిగా మారినప్పటికీ, ఓడలో జాన్ స్టీవర్ట్ ఎ స్టీవార్డ్ నుండి వచ్చారు, వాస్తవానికి ఓడను పడవలో వదిలిపెట్టారు"
"15,వద్ద,సుమారు,140,a",15 వద్ద సుమారు 140 a
మ,మ
"ఆ,క్షణం,తరువాత,ఆండ్రూస్,యొక్క,వీక్షణల,సాక్ష్యాలు,ఉన్నాయి",ఆ క్షణం తరువాత ఆండ్రూస్ యొక్క వీక్షణల సాక్ష్యాలు ఉన్నాయి
"ఆండ్రూస్,తన,ఆలోచనలను,సేకరించడానికి,కొంతకాలం,ధూమపాన,గదిలో,ఉండిపోయాడు,,అప్పుడు,అతను,తరలింపుకు,సహాయం,చేస్తూనే,ఉన్నాడు","ఆండ్రూస్ తన ఆలోచనలను సేకరించడానికి కొంతకాలం ధూమపాన గదిలో ఉండిపోయాడు, అప్పుడు అతను తరలింపుకు సహాయం చేస్తూనే ఉన్నాడు"
"బెర్నార్డ్,హిల్,కెప్టెన్,ఎడ్వర్డ్,జాన్,స్మిత్,గా",బెర్నార్డ్ హిల్ కెప్టెన్ ఎడ్వర్డ్ జాన్ స్మిత్ గా
"పదవీ,విరమణ,చేయడానికి,ముందు,టైటానిక్‌ను,తన,చివరి,సముద్రయానంగా,మార్చాలని,స్మిత్,ప్లాన్,చేశాడు",పదవీ విరమణ చేయడానికి ముందు టైటానిక్‌ను తన చివరి సముద్రయానంగా మార్చాలని స్మిత్ ప్లాన్ చేశాడు
"నీటి,పీడనం,నుండి,కిటికీలు,పగిలినప్పుడు,ఓడ,మునిగిపోతున్నప్పుడు,అతను,వంతెనపై,వీల్‌హౌస్‌లోకి,వెనక్కి,తగ్గుతాడు,,అదే,సమయంలో,అతను,ఓడల,చక్రానికి,అతుక్కుంటాడు","నీటి పీడనం నుండి కిటికీలు పగిలినప్పుడు ఓడ మునిగిపోతున్నప్పుడు అతను వంతెనపై వీల్‌హౌస్‌లోకి వెనక్కి తగ్గుతాడు, అదే సమయంలో అతను ఓడల చక్రానికి అతుక్కుంటాడు"
"అతను,ఈ,పద్ధతిలో,మరణించాడా,లేదా,తరువాత,క్యాప్సైజ్డ్,కుప్పకూలిన,లైఫ్,బోట్,బి,దగ్గర,నీటిలో,మరణిస్తున్నాడా,అనే,దానిపై,విరుద్ధమైన,ఖాతాలు,ఉన్నాయి.",అతను ఈ పద్ధతిలో మరణించాడా లేదా తరువాత క్యాప్సైజ్డ్ కుప్పకూలిన లైఫ్ బోట్ బి దగ్గర నీటిలో మరణిస్తున్నాడా అనే దానిపై విరుద్ధమైన ఖాతాలు ఉన్నాయి.
"జోనాథన్,హైడ్,j,గా",జోనాథన్ హైడ్ j గా
"బ్రూస్,ఇస్మే,వైట్,స్టార్,లైన్స్,అజ్ఞాన,బూరిష్,మేనేజింగ్,డైరెక్టర్",బ్రూస్ ఇస్మే వైట్ స్టార్ లైన్స్ అజ్ఞాన బూరిష్ మేనేజింగ్ డైరెక్టర్
"ఇస్మే,కెప్టెన్,స్మిత్‌ను,న్యూయార్క్‌లో,అంతకుముందు,రావడం,మరియు,అనుకూలమైన,పత్రికా,శ్రద్ధతో,వేగంగా,వెళ్లడానికి,ప్రభావితం,చేస్తుంది,,అయితే,ఇది,విపత్తు,యొక్క,జనాదరణ,పొందిన,చిత్రణలలో,కనిపిస్తుంది,,ఇది,సాక్ష్యం,ద్వారా,మద్దతు,లేదు","ఇస్మే కెప్టెన్ స్మిత్‌ను న్యూయార్క్‌లో అంతకుముందు రావడం మరియు అనుకూలమైన పత్రికా శ్రద్ధతో వేగంగా వెళ్లడానికి ప్రభావితం చేస్తుంది, అయితే ఇది విపత్తు యొక్క జనాదరణ పొందిన చిత్రణలలో కనిపిస్తుంది, ఇది సాక్ష్యం ద్వారా మద్దతు లేదు"
"ఘర్షణ,తరువాత,అతను,తన,అసహ్యమైన,ఓడ,విచారకరంగా,ఉందని,అర్థం,చేసుకోవడానికి,కష్టపడుతున్నాడు",ఘర్షణ తరువాత అతను తన అసహ్యమైన ఓడ విచారకరంగా ఉందని అర్థం చేసుకోవడానికి కష్టపడుతున్నాడు
"ఇస్మే,తరువాత,బోర్డులు,ధ్వంసమయ్యే,సి,ఓడను,తగ్గించే,ముందు,వదిలిపెట్టిన,చివరి,లైఫ్,బోట్లలో,ఒకటి",ఇస్మే తరువాత బోర్డులు ధ్వంసమయ్యే సి ఓడను తగ్గించే ముందు వదిలిపెట్టిన చివరి లైఫ్ బోట్లలో ఒకటి
"చాలా,మంది,మహిళలు,మరియు,పిల్లలు,మునిగిపోయారు",చాలా మంది మహిళలు మరియు పిల్లలు మునిగిపోయారు
"ఎరిక్,బ్రాడెన్,జాన్,జాకబ్,ఆస్టోర్,IV,ఫస్ట్,క్లాస్,ప్రయాణీకులు,మరియు,ఓడలో,అత్యంత,ధనవంతుడు",ఎరిక్ బ్రాడెన్ జాన్ జాకబ్ ఆస్టోర్ IV ఫస్ట్ క్లాస్ ప్రయాణీకులు మరియు ఓడలో అత్యంత ధనవంతుడు
"ఈ,చిత్రం,ఆస్టర్,మరియు,అతని,18,సంవత్సరాల,భార్య,మడేలిన్,షార్లెట్,చాటన్,ను,ఫస్ట్‌క్లాస్,డైనింగ్,సెలూన్‌లో,రోజ్,చేత,జాక్‌కు,పరిచయం,చేసినట్లు,వర్ణిస్తుంది",ఈ చిత్రం ఆస్టర్ మరియు అతని 18 సంవత్సరాల భార్య మడేలిన్ షార్లెట్ చాటన్ ను ఫస్ట్‌క్లాస్ డైనింగ్ సెలూన్‌లో రోజ్ చేత జాక్‌కు పరిచయం చేసినట్లు వర్ణిస్తుంది
"పరిచయం,సమయంలో,ఆస్టర్,జాక్,బోస్టన్,డావ్సన్స్‌తో,కనెక్ట్,అయ్యారా,అని,అడుగుతుంది,,అతను,బదులుగా,చిప్పేవా,ఫాల్స్,డావ్సన్స్‌తో,అనుబంధంగా,ఉన్నానని,జాక్,విక్షేపం,చెందుతాడు","పరిచయం సమయంలో ఆస్టర్ జాక్ బోస్టన్ డావ్సన్స్‌తో కనెక్ట్ అయ్యారా అని అడుగుతుంది, అతను బదులుగా చిప్పేవా ఫాల్స్ డావ్సన్స్‌తో అనుబంధంగా ఉన్నానని జాక్ విక్షేపం చెందుతాడు"
"గ్రాండ్,మెట్ల,గ్లాస్,గోపురం,మరియు,నీరు,పెరుగుతున్నందున,ఆస్టర్,చివరిసారిగా,కనిపిస్తుంది",గ్రాండ్ మెట్ల గ్లాస్ గోపురం మరియు నీరు పెరుగుతున్నందున ఆస్టర్ చివరిసారిగా కనిపిస్తుంది
"కల్నల్,ఆర్కిబాల్డ్,గ్రేసీ,IV,గా,బెర్నార్డ్,ఫాక్స్",కల్నల్ ఆర్కిబాల్డ్ గ్రేసీ IV గా బెర్నార్డ్ ఫాక్స్
"ఈ,చిత్రం,గ్రేసీ,కాల్‌కు,వ్యాఖ్యానించినట్లు,వర్ణిస్తుంది,,మహిళలు,మరియు,యంత్రాలు,కలపడం,లేదు,మరియు,రోజ్,ను,ఓడ,నుండి,పడకుండా,కాపాడినందుకు,జాక్‌ను,అభినందించారు,,అయితే,ఇది,ఆత్మహత్యాయత్నం,అని,అతనికి,తెలియదు","ఈ చిత్రం గ్రేసీ కాల్‌కు వ్యాఖ్యానించినట్లు వర్ణిస్తుంది, మహిళలు మరియు యంత్రాలు కలపడం లేదు మరియు రోజ్ ను ఓడ నుండి పడకుండా కాపాడినందుకు జాక్‌ను అభినందించారు, అయితే ఇది ఆత్మహత్యాయత్నం అని అతనికి తెలియదు"
"అతను,తరువాత,మునిగిపోయే,సమయంలో,జాక్,మరియు,మిగిలిన,లైఫ్,బోట్లకు,ఎదిగినట్లు,చూపించాడు",అతను తరువాత మునిగిపోయే సమయంలో జాక్ మరియు మిగిలిన లైఫ్ బోట్లకు ఎదిగినట్లు చూపించాడు
"ఫాక్స్,1958,చిత్రం,ఎ,నైట్,టు,రిమెంబర్,లో,ఫ్రెడరిక్,ఫ్లీట్,పాత్రను,పోషించాడు",ఫాక్స్ 1958 చిత్రం ఎ నైట్ టు రిమెంబర్ లో ఫ్రెడరిక్ ఫ్లీట్ పాత్రను పోషించాడు
"మైఖేల్,ఎన్సిగ్న్,బెంజమిన్,గుగ్గెన్‌హీమ్,ఫస్ట్‌క్లాస్‌లో,ప్రయాణించే,మైనింగ్,మాగ్నేట్",మైఖేల్ ఎన్సిగ్న్ బెంజమిన్ గుగ్గెన్‌హీమ్ ఫస్ట్‌క్లాస్‌లో ప్రయాణించే మైనింగ్ మాగ్నేట్
"అతను,తన,ఫ్రెంచ్,ఉంపుడుగత్తె,మేడమ్,ఆబెర్ట్,ఫన్నీ,బ్రెట్‌ను,తన,తోటి,ప్రయాణీకులకు,చూపిస్తాడు,,అతని,భార్య,మరియు,ముగ్గురు,కుమార్తెలు,ఇంట్లో,అతని,కోసం,వేచి,ఉన్నారు","అతను తన ఫ్రెంచ్ ఉంపుడుగత్తె మేడమ్ ఆబెర్ట్ ఫన్నీ బ్రెట్‌ను తన తోటి ప్రయాణీకులకు చూపిస్తాడు, అతని భార్య మరియు ముగ్గురు కుమార్తెలు ఇంట్లో అతని కోసం వేచి ఉన్నారు"
"రోజ్,గుగ్గెన్‌హీమ్ను,రక్షించడంతో,జాక్,విందు,కోసం,ఇతర,ఫస్ట్‌క్లాస్,ప్రయాణీకులతో,చేరినప్పుడు,,అతన్ని,బోహేమియన్,అని,సూచిస్తాడు","రోజ్ గుగ్గెన్‌హీమ్ను రక్షించడంతో జాక్ విందు కోసం ఇతర ఫస్ట్‌క్లాస్ ప్రయాణీకులతో చేరినప్పుడు, అతన్ని బోహేమియన్ అని సూచిస్తాడు"
"మునిగిపోతున్నప్పుడు,అతను,వరదలు,గ్రాండ్,మెట్లలో,కనిపిస్తాడు,,అతను,పెద్దమనిషిగా,దిగడానికి,సిద్ధంగా,ఉన్నానని,చెప్పి","మునిగిపోతున్నప్పుడు అతను వరదలు గ్రాండ్ మెట్లలో కనిపిస్తాడు, అతను పెద్దమనిషిగా దిగడానికి సిద్ధంగా ఉన్నానని చెప్పి"
"జోనాథన్,ఎవాన్స్జోన్స్,వాలెస్,హార్ట్లీ,ది,షిప్స్,బ్యాండ్‌మాస్టర్,మరియు,వయోలిన్,తన,సహోద్యోగులతో,పడవ,డెక్‌లో,ఉద్ధరించే,సంగీతాన్ని,పోషిస్తున్నారు,,ఓడ,మునిగిపోతుంది","జోనాథన్ ఎవాన్స్జోన్స్ వాలెస్ హార్ట్లీ ది షిప్స్ బ్యాండ్‌మాస్టర్ మరియు వయోలిన్ తన సహోద్యోగులతో పడవ డెక్‌లో ఉద్ధరించే సంగీతాన్ని పోషిస్తున్నారు, ఓడ మునిగిపోతుంది"
"చివరి,గుచ్చు,ప్రారంభమైనప్పుడు,అతను,బ్యాండ్‌ను,దగ్గరగా,మై,గాడ్,యొక్క,తుది,ప్రదర్శనలో,బెథానీ,యొక్క,ట్యూన్,వరకు,నీకు,నడిపిస్తాడు,మరియు,మునిగిపోతున్నప్పుడు,మరణిస్తాడు",చివరి గుచ్చు ప్రారంభమైనప్పుడు అతను బ్యాండ్‌ను దగ్గరగా మై గాడ్ యొక్క తుది ప్రదర్శనలో బెథానీ యొక్క ట్యూన్ వరకు నీకు నడిపిస్తాడు మరియు మునిగిపోతున్నప్పుడు మరణిస్తాడు
"చీఫ్,ఆఫీసర్,హెన్రీ,వైల్డ్‌గా,మార్క్,లిండ్సే,చాప్మన్,షిప్స్,చీఫ్,ఆఫీసర్",చీఫ్ ఆఫీసర్ హెన్రీ వైల్డ్‌గా మార్క్ లిండ్సే చాప్మన్ షిప్స్ చీఫ్ ఆఫీసర్
"అతను,చనిపోయే,ముందు,అతను,పడవలను,మునిగిపోయే,ప్రదేశానికి,తిరిగి,రావడానికి,ప్రయత్నిస్తాడు,,ప్రయాణీకులను,రక్షించడానికి,తన,విజిల్,ing,దడం,ద్వారా","అతను చనిపోయే ముందు అతను పడవలను మునిగిపోయే ప్రదేశానికి తిరిగి రావడానికి ప్రయత్నిస్తాడు, ప్రయాణీకులను రక్షించడానికి తన విజిల్ ing దడం ద్వారా"
"అతను,మరణానికి,గడ్డకట్టిన,తరువాత,రోజ్,ఐదవ,అధికారి,లోవ్,దృష్టిని,ఆకర్షించడానికి,తన,విజిల్‌ను,ఉపయోగిస్తాడు,,అది,ఆమెను,రక్షించడానికి,దారితీస్తుంది","అతను మరణానికి గడ్డకట్టిన తరువాత రోజ్ ఐదవ అధికారి లోవ్ దృష్టిని ఆకర్షించడానికి తన విజిల్‌ను ఉపయోగిస్తాడు, అది ఆమెను రక్షించడానికి దారితీస్తుంది"
"ఫస్ట్,ఆఫీసర్,విలియం,ముర్డోచ్,గా,ఇవాన్,స్టీవర్ట్,వంతెనకు,బాధ్యత,వహించే,అధికారి,టైటానిక్,మంచుకొండను,తాకినప్పుడు",ఫస్ట్ ఆఫీసర్ విలియం ముర్డోచ్ గా ఇవాన్ స్టీవర్ట్ వంతెనకు బాధ్యత వహించే అధికారి టైటానిక్ మంచుకొండను తాకినప్పుడు
"లైఫ్,బోట్ల,కోసం,రష్,సమయంలో,ముర్డోచ్,టామీ,ర్యాన్‌ను,కాల్చివేస్తాడు,,అలాగే,క్షణిక,భయాందోళనలో,మరొక,ప్రయాణీకుడిని,కాల్చాడు,,ఆపై,తలపై,కాల్పులు,జరపడం,ద్వారా,ఆత్మహత్య,చేసుకుంటాడు","లైఫ్ బోట్ల కోసం రష్ సమయంలో ముర్డోచ్ టామీ ర్యాన్‌ను కాల్చివేస్తాడు, అలాగే క్షణిక భయాందోళనలో మరొక ప్రయాణీకుడిని కాల్చాడు, ఆపై తలపై కాల్పులు జరపడం ద్వారా ఆత్మహత్య చేసుకుంటాడు"
"ముర్డోచ్స్,మేనల్లుడు,స్కాట్,తన,మేనమామలు,చిత్రణపై,అభ్యంతరం,వ్యక్తం,చేసిన,ఈ,చిత్రాన్ని,చూసినప్పుడు,ముర్డోచ్స్,వీరోచిత,ఖ్యాతిని,దెబ్బతీస్తుంది",ముర్డోచ్స్ మేనల్లుడు స్కాట్ తన మేనమామలు చిత్రణపై అభ్యంతరం వ్యక్తం చేసిన ఈ చిత్రాన్ని చూసినప్పుడు ముర్డోచ్స్ వీరోచిత ఖ్యాతిని దెబ్బతీస్తుంది
"కొన్ని,నెలల,తరువాత,ఫాక్స్,వైస్‌ప్రెసిడెంట్,స్కాట్,నీసన్,డాల్బీటీ,స్కాట్లాండ్‌కు,వెళ్లారు,,అక్కడ,ముర్డోచ్,వ్యక్తిగత,క్షమాపణ,చెప్పడానికి,నివసించాడు,మరియు,పాఠశాలలు,విలియం,ముర్డోచ్,మెమోరియల్,బహుమతిని,పెంచడానికి,డాల్బీటీ,హైస్కూల్‌కు,5000,విరాళం,ఇచ్చాడు","కొన్ని నెలల తరువాత ఫాక్స్ వైస్‌ప్రెసిడెంట్ స్కాట్ నీసన్ డాల్బీటీ స్కాట్లాండ్‌కు వెళ్లారు, అక్కడ ముర్డోచ్ వ్యక్తిగత క్షమాపణ చెప్పడానికి నివసించాడు మరియు పాఠశాలలు విలియం ముర్డోచ్ మెమోరియల్ బహుమతిని పెంచడానికి డాల్బీటీ హైస్కూల్‌కు 5000 విరాళం ఇచ్చాడు"
"కామెరాన్,డివిడి,వ్యాఖ్యానంపై,క్షమాపణలు,చెప్పింది,,కాని,మహిళలు,మరియు,పిల్లల,మొదటి,విధానాన్ని,అమలు,చేయడానికి,తుపాకీ,కాల్పులు,జరిపిన,అధికారులు,ఉన్నారని,పేర్కొన్నారు","కామెరాన్ డివిడి వ్యాఖ్యానంపై క్షమాపణలు చెప్పింది, కాని మహిళలు మరియు పిల్లల మొదటి విధానాన్ని అమలు చేయడానికి తుపాకీ కాల్పులు జరిపిన అధికారులు ఉన్నారని పేర్కొన్నారు"
"కామెరాన్,ప్రకారం,,ముర్డోక్,యొక్క,అతని,వర్ణన,ఏమిటంటే,,ఒక,వ్యక్తి,యొక్క,గౌరవప్రదమైన,వ్యక్తి,చెడ్డవాడు,లేదా,పిరికి,హంతకుడు,కాదు","కామెరాన్ ప్రకారం, ముర్డోక్ యొక్క అతని వర్ణన ఏమిటంటే, ఒక వ్యక్తి యొక్క గౌరవప్రదమైన వ్యక్తి చెడ్డవాడు లేదా పిరికి హంతకుడు కాదు"
"ఈ,రోజు,అదే,బాధ్యత,మరియు,మొత్తం,భక్తిని,మీరు,కనుగొన్నారని,ఆయన,ఖచ్చితంగా,తెలియదు",ఈ రోజు అదే బాధ్యత మరియు మొత్తం భక్తిని మీరు కనుగొన్నారని ఆయన ఖచ్చితంగా తెలియదు
"ఈ,వ్యక్తి,తన,లైఫ్,బోట్లలో,సగం,ప్రారంభించాడు,,పోర్ట్,వైపు,తన,ప్రతిరూపం,ఒకటి,కూడా,ప్రారంభించటానికి,ముందు","ఈ వ్యక్తి తన లైఫ్ బోట్లలో సగం ప్రారంభించాడు, పోర్ట్ వైపు తన ప్రతిరూపం ఒకటి కూడా ప్రారంభించటానికి ముందు"
